id,amount,side,instrument,from,to,open,close,pl
182,415,Sell,GLE.PA,2002-04-09T22:00:00Z,2002-04-15T22:00:00Z,34.453495,35.066231,-254.285440
183,588,Buy,BNP.PA,2002-04-23T22:00:00Z,2002-04-29T22:00:00Z,26.607058,26.607058,0.000000
184,393,Sell,GLE.PA,2002-04-23T22:00:00Z,2002-04-29T22:00:00Z,36.409504,36.944462,-210.238494
185,588,Buy,BNP.PA,2002-05-02T22:00:00Z,2002-05-06T22:00:00Z,26.652952,26.515329,-80.922324
186,377,Sell,GLE.PA,2002-05-02T22:00:00Z,2002-05-06T22:00:00Z,37.892368,37.357651,201.588309
187,579,Sell,BNP.PA,2002-05-07T22:00:00Z,2002-05-09T22:00:00Z,27.432810,27.111673,185.938323
188,368,Buy,GLE.PA,2002-05-07T22:00:00Z,2002-05-09T22:00:00Z,38.208328,38.086842,-44.706848
189,563,Sell,BNP.PA,2002-05-14T22:00:00Z,2002-05-19T22:00:00Z,28.120932,27.616325,284.093741
190,365,Buy,GLE.PA,2002-05-14T22:00:00Z,2002-05-19T22:00:00Z,38.694435,37.114601,-576.639410
191,571,Sell,BNP.PA,2002-05-20T22:00:00Z,2002-05-21T22:00:00Z,27.799797,27.524551,157.165466
192,383,Buy,GLE.PA,2002-05-20T22:00:00Z,2002-05-21T22:00:00Z,36.749992,36.725677,-9.312645
193,567,Sell,BNP.PA,2002-05-22T22:00:00Z,2002-05-26T22:00:00Z,27.983311,27.983311,-0.000000
194,384,Buy,GLE.PA,2002-05-22T22:00:00Z,2002-05-26T22:00:00Z,36.749992,37.041683,112.009344
195,572,Buy,BNP.PA,2002-05-29T22:00:00Z,2002-05-30T22:00:00Z,27.386913,27.662174,157.449292
196,393,Sell,GLE.PA,2002-05-29T22:00:00Z,2002-05-30T22:00:00Z,36.434044,35.364571,420.302889
197,599,Sell,BNP.PA,2002-06-06T22:00:00Z,2002-06-10T22:00:00Z,26.850006,27.038391,-112.842615
198,416,Buy,GLE.PA,2002-06-06T22:00:00Z,2002-06-10T22:00:00Z,33.322910,34.368065,434.784480
199,616,Sell,BNP.PA,2002-06-18T22:00:00Z,2002-06-23T22:00:00Z,25.907902,24.824480,667.387952
200,433,Buy,GLE.PA,2002-06-18T22:00:00Z,2002-06-23T22:00:00Z,32.350723,30.770840,-684.089339
201,645,Buy,BNP.PA,2002-07-01T22:00:00Z,2002-07-02T22:00:00Z,24.073879,24.314608,155.270205
202,473,Sell,GLE.PA,2002-07-01T22:00:00Z,2002-07-02T22:00:00Z,30.576380,29.482649,517.334763
203,650,Sell,BNP.PA,2002-07-03T22:00:00Z,2002-07-08T22:00:00Z,24.651665,25.710897,-688.500800
